row_idx	row_name	col_idx	col_name	diff	away	home	initial_chances	if_home	if_away	sig
9	TB @ NO	13	IND	0.002	TB	NO	0.687	0.687	0.689	0
10	ATL @ NYG	13	IND	0.006	ATL	NYG	0.687	0.69	0.683	0
11	STL @ PHI	13	IND	0.022	STL	PHI	0.687	0.693	0.672	0
12	NYJ @ SD	13	IND	0.045	NYJ	SD	0.687	0.675	0.721	1
13	KC @ SF	13	IND	0.01	KC	SF	0.687	0.69	0.68	1
14	CLE @ TEN	13	IND	0.014	CLE	TEN	0.687	0.681	0.696	0
15	SEA @ WAS	13	IND	0.005	SEA	WAS	0.687	0.691	0.686	0
1	CHI @ CAR	14	HOU	0.012	CHI	CAR	0.583	0.578	0.59	0
2	HOU @ DAL	14	HOU	0.172	HOU	DAL	0.583	0.517	0.689	1
3	ARZ @ DEN	14	HOU	0.003	ARZ	DEN	0.583	0.582	0.585	0
4	BUF @ DET	14	HOU	0.013	BUF	DET	0.583	0.587	0.573	0
5	MIN @ GB	14	HOU	0.024	MIN	GB	0.583	0.578	0.602	0
6	BAL @ IND	14	HOU	0.037	BAL	IND	0.583	0.569	0.606	1
7	PIT @ JAC	14	HOU	0.005	PIT	JAC	0.583	0.587	0.581	1
8	CIN @ NE	14	HOU	0.029	CIN	NE	0.583	0.594	0.566	0
9	TB @ NO	14	HOU	0.006	TB	NO	0.583	0.584	0.578	0
10	ATL @ NYG	14	HOU	0.01	ATL	NYG	0.583	0.579	0.589	0
11	STL @ PHI	14	HOU	0.023	STL	PHI	0.583	0.577	0.6	0
12	NYJ @ SD	14	HOU	0.009	NYJ	SD	0.583	0.581	0.59	1
13	KC @ SF	14	HOU	0.014	KC	SF	0.583	0.587	0.573	1
14	CLE @ TEN	14	HOU	0.014	CLE	TEN	0.583	0.577	0.591	0
15	SEA @ WAS	14	HOU	0.007	SEA	WAS	0.583	0.578	0.585	0
1	CHI @ CAR	15	TEN	0.006	CHI	CAR	0.069	0.071	0.065	0
2	HOU @ DAL	15	TEN	0.02	HOU	DAL	0.069	0.076	0.056	1
3	ARZ @ DEN	15	TEN	0.009	ARZ	DEN	0.069	0.066	0.076	0
4	BUF @ DET	15	TEN	0.006	BUF	DET	0.069	0.07	0.064	0
5	MIN @ GB	15	TEN	0.004	MIN	GB	0.069	0.07	0.065	0
6	BAL @ IND	15	TEN	0.011	BAL	IND	0.069	0.065	0.075	0
7	PIT @ JAC	15	TEN	0.001	PIT	JAC	0.069	0.068	0.069	0
8	CIN @ NE	15	TEN	0.007	CIN	NE	0.069	0.066	0.073	0
9	TB @ NO	15	TEN	0.002	TB	NO	0.069	0.068	0.071	0
10	ATL @ NYG	15	TEN	0.004	ATL	NYG	0.069	0.067	0.071	0
11	STL @ PHI	15	TEN	0.009	STL	PHI	0.069	0.067	0.075	0
12	NYJ @ SD	15	TEN	0.009	NYJ	SD	0.069	0.066	0.075	1
13	KC @ SF	15	TEN	0.008	KC	SF	0.069	0.071	0.063	0
14	CLE @ TEN	15	TEN	0.062	CLE	TEN	0.069	0.095	0.033	1
15	SEA @ WAS	15	TEN	0.005	SEA	WAS	0.069	0.072	0.067	0
1	CHI @ CAR	16	JAC	0	CHI	CAR	0	0	0	0
2	HOU @ DAL	16	JAC	0	HOU	DAL	0	0	0	0
3	ARZ @ DEN	16	JAC	0	ARZ	DEN	0	0	0	0
4	BUF @ DET	16	JAC	0	BUF	DET	0	0	0	0
5	MIN @ GB	16	JAC	0	MIN	GB	0	0	0	0
6	BAL @ IND	16	JAC	0	BAL	IND	0	0	0	0
7	PIT @ JAC	16	JAC	0	PIT	JAC	0	0	0	1
8	CIN @ NE	16	JAC	0	CIN	NE	0	0	0	0
9	TB @ NO	16	JAC	0	TB	NO	0	0	0	0
10	ATL @ NYG	16	JAC	0	ATL	NYG	0	0	0	0
11	STL @ PHI	16	JAC	0	STL	PHI	0	0	0	0
12	NYJ @ SD	16	JAC	0	NYJ	SD	0	0	0	0
13	KC @ SF	16	JAC	0	KC	SF	0	0	0	0
14	CLE @ TEN	16	JAC	0	CLE	TEN	0	0	0	0
15	SEA @ WAS	16	JAC	0	SEA	WAS	0	0	0	0
